大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0001	國立政治大學	340408	國際經營與貿易學系	D 日	B 學士	336	23	87	30 臺北市	1 一般
0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	M 碩士	82	0	37	30 臺北市	1 一般
0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	B 學士	206	12	50	30 臺北市	1 一般
0001	國立政治大學	340505	金融學系	D 日	M 碩士	81	0	26	30 臺北市	1 一般
0001	國立政治大學	340505	金融學系	D 日	B 學士	249	11	61	30 臺北市	1 一般
0001	國立政治大學	340601	風險管理(與保險)學系	D 日	M 碩士	66	0	29	30 臺北市	1 一般
0001	國立政治大學	340601	風險管理(與保險)學系	D 日	B 學士	204	12	52	30 臺北市	1 一般
0001	國立政治大學	340701	財政學系	D 日	M 碩士	76	0	29	30 臺北市	1 一般
0001	國立政治大學	340701	財政學系	D 日	B 學士	427	15	105	30 臺北市	1 一般
0001	國立政治大學	349984	科技管理與智慧財產研究所	D 日	M 碩士	147	12	36	30 臺北市	1 一般
0001	國立政治大學	380101	法律學系	D 日	M 碩士	259	0	39	30 臺北市	1 一般
0001	國立政治大學	380101	法律學系	D 日	B 學士	736	30	205	30 臺北市	1 一般
0001	國立政治大學	389998	法學院	N 職	M 碩士	268	6	41	30 臺北市	1 一般
0001	國立政治大學	460102	應用數學系	D 日	B 學士	188	14	43	30 臺北市	1 一般
0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	69	0	23	30 臺北市	1 一般
0001	國立政治大學	460201	統計(科學)(資訊)學系	D 日	B 學士	214	16	47	30 臺北市	1 一般
0001	國立政治大學	480109	資訊管理(技術)學系	D 日	M 碩士	79	0	42	30 臺北市	1 一般
0001	國立政治大學	480109	資訊管理(技術)學系	D 日	B 學士	332	22	76	30 臺北市	1 一般
0001	國立政治大學	520116	資訊科學學系	D 日	M 碩士	104	0	35	30 臺北市	1 一般
0001	國立政治大學	520116	資訊科學學系	D 日	B 學士	207	19	41	30 臺北市	1 一般
0002	國立清華大學	220201	(中)國(語)文學系	D 日	B 學士	206	17	48	18 新竹市	1 一般
0002	國立清華大學	220301	外國語文學系	D 日	B 學士	223	16	44	18 新竹市	1 一般
0002	國立清華大學	229999	人文(與)社會學院(不分系)	D 日	B 學士	343	9	76	18 新竹市	1 一般
0002	國立清華大學	310101	經濟學系	D 日	B 學士	465	25	118	18 新竹市	1 一般
0002	國立清華大學	310301	社會學系	D 日	M 碩士	74	9	22	18 新竹市	1 一般
0002	國立清華大學	340303	經營(與)管理(技術)學系	N 職	M 碩士	117	0	34	18 新竹市	1 一般
0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	56	0	22	18 新竹市	1 一般
0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	B 學士	227	13	47	18 新竹市	1 一般
0002	國立清華大學	349901	(商務)科技管理系	D 日	M 碩士	62	11	24	18 新竹市	1 一般
0002	國立清華大學	349939	高階(主管)(經營)(企業)管理碩士(EMBA)	N 職	M 碩士	102	0	37	18 新竹市	1 一般
0002	國立清華大學	349996	科技管理學院(不分系)	D 日	B 學士	197	0	39	18 新竹市	1 一般
0002	國立清華大學	420103	生命科學系	D 日	B 學士	218	5	52	18 新竹市	1 一般
0002	國立清華大學	420302	(自然)生物科技學系	D 日	M 碩士	65	9	25	18 新竹市	1 一般
0002	國立清華大學	420605	生物資訊與結構生物研究所	D 日	M 碩士	48	10	24	18 新竹市	1 一般
0002	國立清華大學	429903	生命科學院(不分系)	D 日	B 學士	121	0	26	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	D 博士	172	0	24	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	M 碩士	183	0	61	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	B 學士	288	27	71	18 新竹市	1 一般
0002	國立清華大學	440301	物理學系	D 日	M 碩士	141	0	47	18 新竹市	1 一般
0002	國立清華大學	440301	物理學系	D 日	B 學士	292	31	58	18 新竹市	1 一般
0002	國立清華大學	449999	理學院(不分系)	D 日	B 學士	104	0	23	18 新竹市	1 一般
0002	國立清華大學	460101	數學系	D 日	B 學士	243	22	53	18 新竹市	1 一般
0002	國立清華大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	51	9	22	18 新竹市	1 一般
0002	國立清華大學	480401	資訊系統與應用研究所	D 日	M 碩士	110	0	39	18 新竹市	1 一般
0002	國立清華大學	520101	電機(與控制)工程學系	D 日	M 碩士	373	0	113	18 新竹市	1 一般
0002	國立清華大學	520101	電機(與控制)工程學系	D 日	B 學士	435	65	99	18 新竹市	1 一般
0002	國立清華大學	520103	(微)電子(工程)學系	D 日	M 碩士	183	0	60	18 新竹市	1 一般
0002	國立清華大學	520106	光電(科學與)工程學系	D 日	M 碩士	121	0	42	18 新竹市	1 一般
0002	國立清華大學	520114	資訊工程學系	D 日	M 碩士	353	0	152	18 新竹市	1 一般
0002	國立清華大學	520114	資訊工程學系	D 日	B 學士	565	43	117	18 新竹市	1 一般
0002	國立清華大學	520126	(光電與)通訊(工程)學系	D 日	M 碩士	129	0	43	18 新竹市	1 一般
0002	國立清華大學	520201	(動力)機械工程學系	D 日	M 碩士	277	0	120	18 新竹市	1 一般
0002	國立清華大學	520201	(動力)機械工程學系	D 日	B 學士	459	44	101	18 新竹市	1 一般
0002	國立清華大學	520401	化學工程學系	D 日	M 碩士	154	0	69	18 新竹市	1 一般
0002	國立清華大學	520401	化學工程學系	D 日	B 學士	228	23	57	18 新竹市	1 一般
0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	D 博士	165	0	32	18 新竹市	1 一般
0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	233	0	101	18 新竹市	1 一般
0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	B 學士	417	34	103	18 新竹市	1 一般
0002	國立清華大學	520518	奈米工程與微系統研究所	D 日	M 碩士	58	0	25	18 新竹市	1 一般
0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	M 碩士	195	0	85	18 新竹市	1 一般
0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	B 學士	271	20	69	18 新竹市	1 一般
0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	N 職	M 碩士	114	0	21	18 新竹市	1 一般
0002	國立清華大學	521104	生醫工程與環境科學系	D 日	M 碩士	99	0	39	18 新竹市	1 一般
0002	國立清華大學	521104	生醫工程與環境科學系	D 日	B 學士	190	19	45	18 新竹市	1 一般
0002	國立清華大學	521201	工程與系統科學系	D 日	M 碩士	168	0	67	18 新竹市	1 一般
0002	國立清華大學	521201	工程與系統科學系	D 日	B 學士	424	25	94	18 新竹市	1 一般
0002	國立清華大學	521202	核子工程與科學研究所	D 日	M 碩士	39	8	28	18 新竹市	1 一般
0002	國立清華大學	529999	工學院(不分系)	D 日	B 學士	119	0	28	18 新竹市	1 一般
0003	國立臺灣大學	210501	戲劇學系	D 日	B 學士	187	12	22	30 臺北市	1 一般
0003	國立臺灣大學	220201	(中)國(語)文學系	D 日	M 碩士	90	0	24	30 臺北市	1 一般
0003	國立臺灣大學	220201	(中)國(語)文學系	D 日	B 學士	334	52	63	30 臺北市	1 一般
0003	國立臺灣大學	220301	外國語文學系	D 日	B 學士	550	81	139	30 臺北市	1 一般
0003	國立臺灣大學	220320	日本語文學系	D 日	B 學士	262	12	56	30 臺北市	1 一般
0003	國立臺灣大學	220901	(歷)史學系	D 日	B 學士	258	26	59	30 臺北市	1 一般
0003	國立臺灣大學	221001	人類學系	D 日	B 學士	153	14	22	30 臺北市	1 一般
0003	國立臺灣大學	221101	哲學系	D 日	B 學士	181	20	23	30 臺北市	1 一般
0003	國立臺灣大學	310101	經濟學系	D 日	M 碩士	121	0	37	30 臺北市	1 一般
0003	國立臺灣大學	310101	經濟學系	D 日	B 學士	580	40	151	30 臺北市	1 一般
0003	國立臺灣大學	310101	經濟學系	N 職	M 碩士	75	0	21	30 臺北市	1 一般
0003	國立臺灣大學	310201	政治學系	D 日	M 碩士	147	0	44	30 臺北市	1 一般
0003	國立臺灣大學	310201	政治學系	D 日	B 學士	761	24	187	30 臺北市	1 一般
0003	國立臺灣大學	310301	社會學系	D 日	B 學士	200	18	52	30 臺北市	1 一般
0003	國立臺灣大學	310501	(應用)心理學系	D 日	M 碩士	115	0	33	30 臺北市	1 一般
0003	國立臺灣大學	310501	(應用)心理學系	D 日	B 學士	279	24	62	30 臺北市	1 一般
0003	國立臺灣大學	310602	地理環境資源學系	D 日	M 碩士	59	0	25	30 臺北市	1 一般
0003	國立臺灣大學	310602	地理環境資源學系	D 日	B 學士	168	19	25	30 臺北市	1 一般
0003	國立臺灣大學	311002	國家發展(與兩岸關係)研究所	D 日	M 碩士	216	21	43	30 臺北市	1 一般
0003	國立臺灣大學	320201	新聞學系	D 日	M 碩士	90	7	21	30 臺北市	1 一般
0003	國立臺灣大學	320602	(數位)圖書資訊學系	D 日	B 學士	206	13	39	30 臺北市	1 一般
0003	國立臺灣大學	340101	商學系	D 日	M 碩士	148	3	65	30 臺北市	1 一般
0003	國立臺灣大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	109	0	51	30 臺北市	1 一般
0003	國立臺灣大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	B 學士	512	26	133	30 臺北市	1 一般
0003	國立臺灣大學	340301	企業管理學系	D 日	M 碩士	138	2	24	30 臺北市	1 一般
0003	國立臺灣大學	340302	工商管理學系	D 日	B 學士	414	21	104	30 臺北市	1 一般
0003	國立臺灣大學	340307	國際企業(與)(管理)學系	D 日	M 碩士	144	0	56	30 臺北市	1 一般
0003	國立臺灣大學	340307	國際企業(與)(管理)學系	D 日	B 學士	386	21	97	30 臺北市	1 一般
0003	國立臺灣大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	156	0	61	30 臺北市	1 一般
0003	國立臺灣大學	340501	(計量)(數量)財務金融學系	D 日	B 學士	517	24	128	30 臺北市	1 一般
0003	國立臺灣大學	349939	高階(主管)(經營)(企業)管理碩士(EMBA)	N 職	M 碩士	209	0	43	30 臺北市	1 一般
0003	國立臺灣大學	349999	管理學院(不分系)	N 職	M 碩士	478	0	144	30 臺北市	1 一般
0003	國立臺灣大學	380101	法律學系	D 日	M 碩士	495	0	111	30 臺北市	1 一般
0003	國立臺灣大學	380101	法律學系	D 日	B 學士	806	37	185	30 臺北市	1 一般
0003	國立臺灣大學	380205	科際整合法律學研究所	D 日	M 碩士	172	7	29	30 臺北市	1 一般
0003	國立臺灣大學	420103	生命科學系	D 日	M 碩士	62	0	26	30 臺北市	1 一般
0003	國立臺灣大學	420103	生命科學系	D 日	B 學士	209	27	49	30 臺北市	1 一般
0003	國立臺灣大學	420106	植物科學研究所	D 日	M 碩士	66	9	27	30 臺北市	1 一般
0003	國立臺灣大學	420107	昆蟲學系	D 日	B 學士	118	10	23	30 臺北市	1 一般
0003	國立臺灣大學	420309	生化科學研究所	D 日	M 碩士	55	7	21	30 臺北市	1 一般
0003	國立臺灣大學	420310	生化科技學系	D 日	M 碩士	117	0	52	30 臺北市	1 一般
0003	國立臺灣大學	420310	生化科技學系	D 日	B 學士	193	20	43	30 臺北市	1 一般
0003	國立臺灣大學	420313	分子(生物)及細胞生物研究所	D 日	M 碩士	61	7	26	30 臺北市	1 一般
0003	國立臺灣大學	420401	微生物學系	D 日	M 碩士	78	12	33	30 臺北市	1 一般
0003	國立臺灣大學	420501	生物化學(暨分子生物)研究所	D 日	M 碩士	60	13	30	30 臺北市	1 一般
0003	國立臺灣大學	440101	化學系	D 日	D 博士	159	0	25	30 臺北市	1 一般
0003	國立臺灣大學	440101	化學系	D 日	M 碩士	202	0	96	30 臺北市	1 一般
0003	國立臺灣大學	440101	化學系	D 日	B 學士	295	33	76	30 臺北市	1 一般
0003	國立臺灣大學	440203	地質(科)學系	D 日	M 碩士	84	0	26	30 臺北市	1 一般
0003	國立臺灣大學	440203	地質(科)學系	D 日	B 學士	166	23	26	30 臺北市	1 一般
0003	國立臺灣大學	440301	物理學系	D 日	M 碩士	169	0	70	30 臺北市	1 一般
0003	國立臺灣大學	440301	物理學系	D 日	B 學士	282	34	68	30 臺北市	1 一般
0003	國立臺灣大學	440401	大氣科學系	D 日	B 學士	143	15	35	30 臺北市	1 一般
0003	國立臺灣大學	440508	海洋(科學)學系	D 日	M 碩士	85	29	42	30 臺北市	1 一般
0003	國立臺灣大學	460101	數學系	D 日	M 碩士	53	0	22	30 臺北市	1 一般
0003	國立臺灣大學	460101	數學系	D 日	B 學士	215	24	56	30 臺北市	1 一般
0003	國立臺灣大學	480109	資訊管理(技術)學系	D 日	M 碩士	121	0	44	30 臺北市	1 一般
0003	國立臺灣大學	480109	資訊管理(技術)學系	D 日	B 學士	207	14	38	30 臺北市	1 一般
0003	國立臺灣大學	480202	資訊網路與多媒體研究所	D 日	M 碩士	102	9	47	30 臺北市	1 一般
0003	國立臺灣大學	520101	電機(與控制)工程學系	D 日	M 碩士	221	0	69	30 臺北市	1 一般
0003	國立臺灣大學	520101	電機(與控制)工程學系	D 日	B 學士	784	62	190	30 臺北市	1 一般
0003	國立臺灣大學	520103	(微)電子(工程)學系	D 日	D 博士	140	0	21	30 臺北市	1 一般
0003	國立臺灣大學	520103	(微)電子(工程)學系	D 日	M 碩士	377	14	124	30 臺北市	1 一般
0003	國立臺灣大學	520106	光電(科學與)工程學系	D 日	M 碩士	251	18	84	30 臺北市	1 一般
0003	國立臺灣大學	520114	資訊工程學系	D 日	D 博士	108	0	21	30 臺北市	1 一般
0003	國立臺灣大學	520114	資訊工程學系	D 日	M 碩士	324	0	127	30 臺北市	1 一般
0003	國立臺灣大學	520114	資訊工程學系	D 日	B 學士	520	30	104	30 臺北市	1 一般
0003	國立臺灣大學	520123	電信工程學系	D 日	M 碩士	284	13	107	30 臺北市	1 一般
0003	國立臺灣大學	520201	(動力)機械工程學系	D 日	M 碩士	423	0	181	30 臺北市	1 一般
0003	國立臺灣大學	520201	(動力)機械工程學系	D 日	B 學士	675	58	159	30 臺北市	1 一般
0003	國立臺灣大學	520234	應用力學研究所	D 日	M 碩士	174	29	66	30 臺北市	1 一般
0003	國立臺灣大學	520239	生物(產業)機電工程學系	D 日	M 碩士	106	0	41	30 臺北市	1 一般
0003	國立臺灣大學	520239	生物(產業)機電工程學系	D 日	B 學士	167	22	37	30 臺北市	1 一般
0003	國立臺灣大學	520301	土木工程學系	D 日	M 碩士	347	0	163	30 臺北市	1 一般
0003	國立臺灣大學	520301	土木工程學系	D 日	B 學士	456	52	96	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	M 碩士	72	0	30	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	B 學士	207	24	39	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	D 博士	76	0	21	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	M 碩士	202	0	83	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	B 學士	488	34	108	30 臺北市	1 一般
0003	國立臺灣大學	520407	高分子科學與工程學研究所	D 日	M 碩士	57	7	27	30 臺北市	1 一般
0003	國立臺灣大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	142	0	48	30 臺北市	1 一般
0003	國立臺灣大學	520502	材料科學(與)(工程)學系	D 日	B 學士	215	23	50	30 臺北市	1 一般
0003	國立臺灣大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	M 碩士	70	6	33	30 臺北市	1 一般
0003	國立臺灣大學	520901	環境工程學系	D 日	M 碩士	98	13	46	30 臺北市	1 一般
0003	國立臺灣大學	521105	生醫電子與資訊學研究所	D 日	M 碩士	100	8	40	30 臺北市	1 一般
0003	國立臺灣大學	521302	工程科學(及海洋工程)學系	D 日	M 碩士	187	0	65	30 臺北市	1 一般
0003	國立臺灣大學	521302	工程科學(及海洋工程)學系	D 日	B 學士	185	23	42	30 臺北市	1 一般
0003	國立臺灣大學	521307	醫學工程學系	D 日	M 碩士	123	13	52	30 臺北市	1 一般
0003	國立臺灣大學	589901	建築與城鄉研究所	D 日	M 碩士	99	8	25	30 臺北市	1 一般
0003	國立臺灣大學	620102	農藝學系	D 日	M 碩士	66	0	23	30 臺北市	1 一般
0003	國立臺灣大學	620102	農藝學系	D 日	B 學士	162	18	41	30 臺北市	1 一般
0003	國立臺灣大學	620203	動物科學(技術)學系	D 日	M 碩士	59	0	21	30 臺北市	1 一般
0003	國立臺灣大學	620203	動物科學(技術)學系	D 日	B 學士	120	17	34	30 臺北市	1 一般
0003	國立臺灣大學	620303	園藝暨景觀學系	D 日	M 碩士	132	0	45	30 臺北市	1 一般
0003	國立臺灣大學	620303	園藝暨景觀學系	D 日	B 學士	225	20	54	30 臺北市	1 一般
0003	國立臺灣大學	620402	植物病理(與微生物)學系	D 日	M 碩士	57	0	22	30 臺北市	1 一般
0003	國立臺灣大學	620402	植物病理(與微生物)學系	D 日	B 學士	132	11	25	30 臺北市	1 一般
0003	國立臺灣大學	620501	農業經濟學系	D 日	M 碩士	78	0	25	30 臺北市	1 一般
0003	國立臺灣大學	620501	農業經濟學系	D 日	B 學士	176	13	47	30 臺北市	1 一般
0003	國立臺灣大學	620501	農業經濟學系	N 職	M 碩士	62	0	30	30 臺北市	1 一般
0003	國立臺灣大學	620510	生物產業傳播暨發展學系	D 日	B 學士	257	14	53	30 臺北市	1 一般
0003	國立臺灣大學	620602	食品科技學系	D 日	M 碩士	101	12	26	30 臺北市	1 一般
0003	國立臺灣大學	620801	農業化學系	D 日	M 碩士	60	0	23	30 臺北市	1 一般
0003	國立臺灣大學	620801	農業化學系	D 日	B 學士	170	17	47	30 臺北市	1 一般
0003	國立臺灣大學	621002	森林環境暨資源學系	D 日	M 碩士	143	0	32	30 臺北市	1 一般
0003	國立臺灣大學	621002	森林環境暨資源學系	D 日	B 學士	276	23	67	30 臺北市	1 一般
0003	國立臺灣大學	640101	獸醫學系	D 日	B 學士	329	18	55	30 臺北市	1 一般
0003	國立臺灣大學	720101	醫學系	D 日	B 學士	978	155	126	30 臺北市	1 一般
0003	國立臺灣大學	720201	公共衛生學系	D 日	B 學士	149	9	27	30 臺北市	1 一般
0003	國立臺灣大學	720220	流行病學與預防醫學研究所	D 日	M 碩士	86	14	32	30 臺北市	1 一般
0003	國立臺灣大學	720221	健康政策與管理研究所	D 日	M 碩士	81	10	32	30 臺北市	1 一般
0003	國立臺灣大學	720301	藥學系	D 日	M 碩士	65	0	23	30 臺北市	1 一般
0003	國立臺灣大學	720301	藥學系	D 日	B 學士	248	16	53	30 臺北市	1 一般
0003	國立臺灣大學	720401	物理治療系	D 日	B 學士	160	17	30	30 臺北市	1 一般
0003	國立臺灣大學	720402	職能治療學系	D 日	B 學士	138	11	34	30 臺北市	1 一般
0003	國立臺灣大學	720601	護理學系	D 日	B 學士	157	22	21	30 臺北市	1 一般
0003	國立臺灣大學	720708	醫學檢驗(暨)生物技術學系	D 日	M 碩士	58	0	22	30 臺北市	1 一般
0003	國立臺灣大學	720801	牙醫(科學)學系	D 日	B 學士	222	19	36	30 臺北市	1 一般
0003	國立臺灣大學	720802	臨床牙醫學研究所	D 日	M 碩士	73	8	20	30 臺北市	1 一般
0003	國立臺灣大學	760301	(社會政策與)社會工作學系	D 日	B 學士	206	16	49	30 臺北市	1 一般
0004	國立臺灣師範大學	140101	教育學系	D 日	B 學士	264	17	52	30 臺北市	3 師範
0004	國立臺灣師範大學	140107	(教育心理與)輔導學系	D 日	M 碩士	108	0	32	30 臺北市	3 師範
0004	國立臺灣師範大學	140107	(教育心理與)輔導學系	D 日	B 學士	195	26	32	30 臺北市	3 師範
0004	國立臺灣師範大學	140201	公民教育與活動領導學系	D 日	M 碩士	80	0	20	30 臺北市	3 師範
0004	國立臺灣師範大學	140201	公民教育與活動領導學系	D 日	B 學士	349	17	75	30 臺北市	3 師範
0004	國立臺灣師範大學	140203	華語(文)教學學系	D 日	M 碩士	113	0	25	30 臺北市	3 師範
0004	國立臺灣師範大學	140203	華語(文)教學學系	D 日	B 學士	186	14	33	30 臺北市	3 師範
0004	國立臺灣師範大學	140206	(自然)科學教育(與應用)	D 日	M 碩士	56	12	20	30 臺北市	3 師範
0004	國立臺灣師範大學	140215	人類發展與家庭學系	D 日	M 碩士	93	0	26	30 臺北市	3 師範
0004	國立臺灣師範大學	140215	人類發展與家庭學系	D 日	B 學士	412	19	100	30 臺北市	3 師範
0004	國立臺灣師範大學	140222	社會教育學系	D 日	B 學士	225	12	53	30 臺北市	3 師範
0004	國立臺灣師範大學	140301	工業教育(與技術)學系	D 日	M 碩士	82	0	35	30 臺北市	3 師範
0004	國立臺灣師範大學	140301	工業教育(與技術)學系	D 日	B 學士	201	18	51	30 臺北市	3 師範
0004	國立臺灣師範大學	140301	工業教育(與技術)學系	N 職	M 碩士	127	0	25	30 臺北市	3 師範
0004	國立臺灣師範大學	140307	資訊教育學系	D 日	M 碩士	53	5	21	30 臺北市	3 師範
0004	國立臺灣師範大學	140315	體育學系	D 日	M 碩士	140	0	37	30 臺北市	3 師範
0004	國立臺灣師範大學	140315	體育學系	D 日	B 學士	269	34	57	30 臺北市	3 師範
0004	國立臺灣師範大學	140325	健康促進與衛生教育學系	D 日	M 碩士	49	0	20	30 臺北市	3 師範
0004	國立臺灣師範大學	140325	健康促進與衛生教育學系	D 日	B 學士	164	14	46	30 臺北市	3 師範
0004	國立臺灣師範大學	140601	特殊教育學系	D 日	B 學士	191	15	44	30 臺北市	3 師範
0004	國立臺灣師範大學	140601	特殊教育學系	N 職	M 碩士	73	0	26	30 臺北市	3 師範
0004	國立臺灣師範大學	149909	科技應用與人力資源發展學系	D 日	B 學士	233	12	52	30 臺北市	3 師範
0004	國立臺灣師範大學	210101	(應用)美術學系	D 日	M 碩士	136	0	25	30 臺北市	3 師範
0004	國立臺灣師範大學	210101	(應用)美術學系	D 日	B 學士	187	21	44	30 臺北市	3 師範
0004	國立臺灣師範大學	210101	(應用)美術學系	N 職	M 碩士	162	0	31	30 臺北市	3 師範
0004	國立臺灣師範大學	210401	音樂學系	D 日	M 碩士	125	0	32	30 臺北市	3 師範
0004	國立臺灣師範大學	210401	音樂學系	D 日	B 學士	287	35	59	30 臺北市	3 師範
0004	國立臺灣師範大學	210707	(音樂與)表演藝術系	D 日	M 碩士	82	0	22	30 臺北市	3 師範
0004	國立臺灣師範大學	220102	臺灣語文(與傳播)學系	D 日	B 學士	92	11	21	30 臺北市	3 師範
0004	國立臺灣師範大學	220201	(中)國(語)文學系	D 日	M 碩士	108	0	30	30 臺北市	3 師範
0004	國立臺灣師範大學	220201	(中)國(語)文學系	D 日	B 學士	519	46	133	30 臺北市	3 師範
0004	國立臺灣師範大學	220201	(中)國(語)文學系	N 職	M 碩士	168	0	32	30 臺北市	3 師範
0004	國立臺灣師範大學	220204	(應用)華語(文)學系	D 日	B 學士	264	11	46	30 臺北市	3 師範
0004	國立臺灣師範大學	220308	英語學系	D 日	M 碩士	134	0	26	30 臺北市	3 師範
0004	國立臺灣師範大學	220308	英語學系	D 日	B 學士	329	51	74	30 臺北市	3 師範
0004	國立臺灣師範大學	220901	(歷)史學系	D 日	B 學士	255	15	54	30 臺北市	3 師範
0004	國立臺灣師範大學	230106	設計(科學)(創作)(運算)學系	D 日	B 學士	169	12	32	30 臺北市	3 師範
0004	國立臺灣師範大學	230106	設計(科學)(創作)(運算)學系	N 職	M 碩士	95	0	22	30 臺北市	3 師範
